user_id,gender,dob,location,device_type,preferred_language,signup_date,registration_status,loyalty_program_member,account_status,acquisition_channel
U1000,female,2002-12-27,North Judithbury,desktop,English,2025-03-14 08:14:14,guest,no,active,organic
U1001,female,1968-12-20,Lake Joyside,desktop,German,2025-02-15 21:09:51,registered,no,suspended,email
U1002,female,1999-08-28,Johnsonland,desktop,German,2025-03-13 10:55:36,pending,no,inactive,organic
U1003,female,1975-04-22,New Jamesside,tablet,German,2025-04-21 11:06:14,registered,no,suspended,referral
U1004,male,1974-06-23,Lawrencetown,tablet,English,2025-03-02 00:03:58,registered,yes,active,email
U1005,female,2006-12-25,Petersonberg,desktop,Spanish,2025-03-12 19:26:05,guest,no,active,social
U1006,female,1982-05-19,North Noahstad,tablet,English,2025-04-06 18:56:59,pending,no,active,social
U1007,female,2000-07-22,Lindsaymouth,desktop,English,2025-05-14 03:00:14,pending,yes,inactive,paid
U1008,female,1967-12-20,Millerport,desktop,French,2025-05-30 02:30:39,guest,yes,inactive,email
U1009,female,1984-01-31,Lake Chad,mobile,German,2025-03-15 06:04:58,guest,yes,inactive,paid
U1010,female,1979-03-02,Port Jesseville,desktop,English,2025-04-13 19:30:59,pending,yes,suspended,referral
U1011,female,1978-05-23,Reidstad,tablet,English,2025-03-02 14:01:22,pending,yes,inactive,referral
U1012,female,1984-08-30,Jasonview,desktop,German,2025-02-12 20:45:35,guest,no,active,organic
U1013,female,2000-12-04,New Jessica,mobile,German,2025-03-02 17:30:38,pending,yes,active,paid
U1014,male,1990-12-06,Nelsonside,mobile,Spanish,2025-03-13 15:28:51,guest,yes,active,paid
U1015,male,2006-01-23,Meganton,tablet,French,2025-03-15 11:26:28,guest,yes,inactive,organic
U1016,female,1961-08-28,Richardland,mobile,Spanish,2025-03-11 23:15:04,registered,yes,active,social
U1017,female,1998-01-26,Jasonfort,desktop,French,2025-04-16 19:46:41,registered,no,suspended,email
U1018,female,2003-03-22,Thomasberg,tablet,German,2025-03-18 21:22:02,pending,no,suspended,referral
U1019,female,1997-09-03,Juliechester,desktop,English,2025-05-23 07:27:37,guest,yes,inactive,paid
U1020,male,1986-08-27,Jeffreyberg,mobile,Spanish,2025-05-08 22:33:52,pending,yes,inactive,referral
U1021,male,1993-01-21,Port Brandonville,desktop,Spanish,2025-02-28 16:17:31,registered,no,inactive,paid
U1022,male,2002-03-04,Port Erin,tablet,English,2025-05-25 19:28:03,guest,no,active,paid
U1023,male,1963-10-18,Jamesmouth,mobile,French,2025-05-12 17:51:05,registered,yes,active,paid
U1024,female,1976-07-31,Lake Jenniferside,tablet,Spanish,2025-03-22 19:29:43,registered,yes,active,social
U1025,male,2003-02-03,Danielchester,mobile,Spanish,2025-03-01 17:04:06,registered,yes,active,social
U1026,male,1990-05-08,Lake Nancyview,mobile,French,2025-05-07 04:54:01,registered,yes,active,organic
U1027,male,1971-08-19,Port Colleenhaven,mobile,English,2025-05-28 06:00:24,guest,yes,inactive,paid
U1028,male,1973-01-03,West Kathryn,mobile,English,2025-05-14 17:41:18,registered,yes,active,organic
U1029,male,1995-07-26,New Mariotown,mobile,English,2025-02-20 17:20:28,registered,yes,inactive,referral
U1030,female,1984-03-04,Johnbury,desktop,Spanish,2025-05-20 04:04:29,guest,yes,active,email
U1031,female,1964-10-31,Lake Toddland,tablet,German,2025-05-13 10:35:26,registered,no,active,referral
U1032,male,1968-01-12,Lake Thomas,tablet,English,2025-05-16 18:16:13,guest,yes,inactive,organic
U1033,male,1970-09-17,Allisonchester,tablet,French,2025-03-12 03:03:04,registered,no,inactive,social
U1034,female,1996-03-04,Lake Larry,mobile,English,2025-04-12 12:15:56,guest,yes,active,social
U1035,female,1989-04-15,Martinezbury,desktop,French,2025-02-11 10:22:56,pending,no,inactive,paid
U1036,male,1982-06-25,New Angelashire,tablet,French,2025-03-13 18:17:14,registered,yes,suspended,social
U1037,female,1959-12-18,Lake Crystalbury,mobile,Spanish,2025-02-12 02:06:29,registered,no,inactive,social
U1038,female,1961-08-11,Chadbury,desktop,French,2025-03-25 01:47:53,registered,yes,inactive,referral
U1039,male,2004-12-30,Lewisberg,mobile,English,2025-05-20 21:15:13,guest,yes,inactive,social
U1040,female,1998-09-07,Sanchezfort,tablet,French,2025-04-19 01:02:12,registered,yes,active,email
U1041,female,1972-06-06,North Donnastad,tablet,German,2025-04-22 06:01:10,registered,no,suspended,social
U1042,male,1987-06-14,Shieldston,tablet,Spanish,2025-02-18 02:39:37,guest,yes,suspended,referral
U1043,female,1963-08-07,Chandlerville,tablet,French,2025-03-19 06:49:21,registered,no,active,organic
U1044,male,1972-07-05,New Shane,tablet,German,2025-04-21 22:06:39,pending,yes,suspended,referral
U1045,male,1971-12-17,Stevenland,tablet,English,2025-04-26 01:08:20,pending,yes,active,organic
U1046,female,1996-12-03,North Deniseside,mobile,French,2025-02-01 20:46:35,registered,no,suspended,email
U1047,male,1965-10-27,East Richard,tablet,Spanish,2025-05-03 11:17:34,guest,no,suspended,organic
U1048,female,1974-01-07,Barreraburgh,desktop,English,2025-04-13 14:08:33,pending,yes,inactive,paid
U1049,female,1959-08-15,Bakermouth,desktop,English,2025-03-26 09:21:27,registered,no,suspended,organic
U1050,female,1988-04-04,Mooreport,mobile,English,2025-03-13 06:33:34,pending,yes,suspended,paid
U1051,female,1963-06-15,Lake Leeton,desktop,French,2025-05-23 10:27:53,registered,yes,suspended,organic
U1052,female,1991-12-02,North Susan,tablet,Spanish,2025-02-14 13:20:47,pending,no,active,email
U1053,female,1972-02-13,New Carlosbury,tablet,English,2025-04-18 09:43:49,guest,no,active,email
U1054,male,1967-08-19,New Brooke,mobile,French,2025-05-30 06:31:37,registered,yes,suspended,referral
U1055,male,1965-01-19,Sandovalshire,mobile,English,2025-05-11 12:20:38,guest,no,inactive,paid
U1056,female,1981-01-01,Jamesmouth,desktop,Spanish,2025-03-17 08:21:25,registered,no,active,organic
U1057,female,1977-07-19,Andersonport,tablet,Spanish,2025-04-28 18:49:15,registered,no,active,referral
U1058,male,1980-12-27,North Stephenshire,desktop,English,2025-02-18 09:56:47,pending,no,active,organic
U1059,male,1964-06-16,New Joseph,mobile,English,2025-04-07 18:29:56,guest,no,active,organic
U1060,male,1964-02-26,West Justin,mobile,Spanish,2025-04-25 02:05:17,registered,yes,inactive,organic
U1061,female,1996-06-09,Cherylhaven,desktop,Spanish,2025-01-31 12:27:29,registered,yes,active,social
U1062,female,2004-12-02,Sarahville,tablet,English,2025-02-25 01:50:31,guest,no,suspended,social
U1063,female,1977-06-21,North Juliaberg,mobile,German,2025-03-23 21:14:04,registered,yes,inactive,referral
U1064,female,1978-08-25,Lake Matthew,desktop,German,2025-03-22 06:15:14,guest,no,inactive,paid
U1065,female,1993-11-13,Kington,tablet,English,2025-02-16 22:08:31,registered,yes,active,organic
U1066,male,2002-08-21,Calderonton,desktop,English,2025-01-30 16:31:26,pending,no,suspended,referral
U1067,female,1982-03-04,Lake Tina,desktop,English,2025-03-02 09:01:35,guest,no,suspended,referral
U1068,male,1989-07-16,Hoffmanville,tablet,English,2025-02-13 14:39:42,registered,yes,active,referral
U1069,female,2006-07-01,New Barry,desktop,Spanish,2025-04-11 16:40:16,registered,no,inactive,referral
U1070,male,1999-02-11,South David,mobile,English,2025-03-30 20:35:16,guest,no,inactive,organic
U1071,female,1984-04-15,West Jasonbury,tablet,German,2025-02-18 23:03:10,pending,no,active,paid
U1072,other,1983-07-17,Dicksonberg,mobile,German,2025-03-16 23:16:33,pending,no,active,paid
U1073,female,1970-07-14,South Angel,mobile,Spanish,2025-04-04 12:05:47,pending,no,inactive,referral
U1074,male,1987-06-29,West Erik,tablet,German,2025-02-19 23:45:43,pending,yes,inactive,referral
U1075,female,1985-07-04,Port Thomasborough,mobile,English,2025-04-29 09:10:06,registered,no,suspended,paid
U1076,female,1983-04-08,Loribury,tablet,German,2025-03-14 06:53:56,pending,yes,inactive,social
U1077,female,1961-01-31,South Mark,tablet,English,2025-02-12 11:31:26,guest,yes,suspended,paid
U1078,female,1978-06-20,Darlenefurt,tablet,English,2025-05-14 02:56:47,registered,yes,active,email
U1079,male,1982-01-03,North Natalieview,tablet,French,2025-03-05 16:11:10,registered,no,inactive,email
U1080,female,1998-12-25,Benjaminchester,desktop,English,2025-04-07 03:01:07,registered,yes,inactive,paid
U1081,male,1980-10-26,Obrienhaven,mobile,French,2025-02-21 10:56:54,registered,yes,active,referral
U1082,male,1985-09-08,West Bradley,mobile,Spanish,2025-04-24 16:10:31,guest,no,suspended,organic
U1083,female,1959-08-04,West Ryan,desktop,English,2025-04-04 02:50:37,guest,yes,inactive,social
U1084,female,2001-11-17,Elizabethville,mobile,French,2025-03-29 07:36:11,pending,yes,active,organic
U1085,male,1993-12-25,Elizabethmouth,mobile,English,2025-04-18 03:19:18,registered,yes,suspended,paid
U1086,male,2006-12-02,Angelaborough,mobile,German,2025-04-21 15:25:18,pending,yes,inactive,email
U1087,female,2004-09-20,Byrdburgh,mobile,Spanish,2025-05-29 12:30:26,registered,no,inactive,social
U1088,female,1998-03-15,Richardtown,mobile,English,2025-03-30 00:09:35,pending,yes,suspended,referral
U1089,male,1978-12-31,South Kristi,tablet,German,2025-05-27 19:14:52,guest,no,suspended,email
U1090,male,2004-01-10,Stevenmouth,desktop,Spanish,2025-03-12 11:55:14,guest,yes,suspended,organic
U1091,male,1994-04-05,Leonburgh,tablet,German,2025-02-15 11:10:33,registered,no,inactive,organic
U1092,female,1978-10-14,Clarencebury,desktop,German,2025-03-31 06:39:34,guest,no,suspended,paid
U1093,male,1974-10-05,East Andrew,desktop,German,2025-03-18 13:02:56,registered,yes,active,social
U1094,female,1991-10-22,South Robertshire,mobile,English,2025-03-08 18:08:01,guest,yes,inactive,paid
U1095,female,2006-11-10,Snyderbury,desktop,German,2025-02-27 15:43:56,pending,yes,suspended,organic
U1096,female,2004-02-13,Port Michelleville,tablet,Spanish,2025-04-22 13:19:29,pending,yes,suspended,email
U1097,female,1974-05-14,Port Susan,mobile,English,2025-05-10 13:51:29,guest,yes,suspended,organic
U1098,female,1991-02-01,New Johnville,mobile,English,2025-04-28 15:15:58,pending,yes,suspended,social
U1099,male,1968-07-19,Contrerasside,desktop,English,2025-05-25 15:00:32,registered,no,active,email
U1100,male,1981-01-24,Salazarhaven,mobile,German,2025-04-22 20:45:21,guest,yes,suspended,organic
U1101,female,1996-10-03,Merrittfort,desktop,German,2025-04-27 09:28:37,guest,no,inactive,email
U1102,male,1977-02-10,Port Dana,tablet,French,2025-05-11 05:25:59,pending,no,suspended,referral
U1103,female,1992-06-13,West Scott,mobile,Spanish,2025-03-26 11:35:22,registered,no,inactive,social
U1104,female,1975-06-07,Matthewside,tablet,English,2025-02-14 15:31:08,registered,yes,active,organic
U1105,female,1968-11-21,East Patrick,desktop,German,2025-02-28 16:07:26,guest,no,inactive,referral
U1106,female,1974-01-12,South Rickside,tablet,English,2025-04-30 11:21:52,pending,yes,inactive,email
U1107,male,1987-10-08,East Marissafurt,tablet,German,2025-05-23 10:00:26,guest,yes,suspended,paid
U1108,female,2006-10-21,Port Nicoleshire,tablet,English,2025-04-13 20:42:14,pending,yes,suspended,organic
U1109,female,1991-12-07,West Kennethfurt,tablet,English,2025-04-21 08:46:50,guest,yes,inactive,social
U1110,male,1996-02-06,South Jeffrey,desktop,English,2025-04-24 15:08:34,pending,no,inactive,referral
U1111,male,1992-07-09,South Matthewfurt,desktop,Spanish,2025-03-03 01:09:51,guest,yes,active,referral
U1112,female,1991-04-13,New Amanda,mobile,French,2025-04-16 12:16:02,pending,no,inactive,referral
U1113,male,1999-10-02,North Dawnberg,desktop,German,2025-04-29 15:40:14,registered,yes,inactive,email
U1114,female,1971-11-03,West Nicholasborough,mobile,German,2025-04-28 07:03:08,pending,no,inactive,email
U1115,female,1981-09-18,Kathleenfurt,desktop,Spanish,2025-03-25 00:46:11,registered,no,inactive,paid
U1116,female,1988-02-29,Maryfort,mobile,German,2025-02-02 18:19:57,pending,yes,suspended,paid
U1117,male,1996-03-07,West Jeffreyland,desktop,Spanish,2025-02-06 19:36:59,pending,no,inactive,organic
U1118,male,1961-08-02,East Mary,tablet,French,2025-05-30 15:38:02,guest,yes,suspended,social
U1119,male,1969-11-04,East Thomas,mobile,German,2025-02-21 05:05:36,pending,no,active,social
U1120,male,1997-11-07,South Holly,mobile,German,2025-04-11 15:10:34,pending,yes,suspended,social
U1121,female,1970-11-22,Port Loriport,desktop,German,2025-02-19 23:46:36,pending,no,inactive,email
U1122,female,1998-11-08,West Barbarafurt,tablet,German,2025-04-17 00:32:37,guest,yes,active,referral
U1123,female,1972-12-20,New Hannahbury,tablet,German,2025-02-18 18:53:40,pending,no,inactive,social
U1124,female,2006-12-01,Melissaville,tablet,German,2025-05-19 21:26:12,registered,yes,active,email
U1125,male,1962-04-08,Amandastad,tablet,German,2025-02-12 09:21:42,guest,yes,inactive,referral
U1126,female,1993-11-26,Alexanderchester,mobile,French,2025-05-05 04:30:19,guest,no,inactive,organic
U1127,male,1966-08-28,Yumouth,mobile,Spanish,2025-02-28 16:59:25,pending,yes,active,referral
U1128,female,1989-02-09,Lake Aimee,tablet,German,2025-03-23 10:40:30,registered,yes,suspended,organic
U1129,male,2001-05-21,Marshallshire,mobile,Spanish,2025-03-23 02:48:49,registered,no,inactive,email
U1130,female,1981-05-28,Port Sarah,mobile,French,2025-03-25 03:53:59,guest,yes,suspended,paid
U1131,female,1990-02-24,Port Steven,tablet,English,2025-05-28 12:21:06,registered,no,inactive,organic
U1132,male,2004-12-10,Rogersfort,tablet,German,2025-04-03 02:40:32,guest,yes,active,social
U1133,female,1971-11-06,Lewisview,mobile,German,2025-04-06 02:05:38,registered,yes,active,email
U1134,female,1978-07-03,Angelahaven,desktop,English,2025-03-08 02:23:14,pending,yes,suspended,social
U1135,male,1965-04-19,Lake Richard,tablet,German,2025-05-17 19:18:31,guest,yes,inactive,paid
U1136,male,1975-10-30,Brewerfort,tablet,French,2025-04-27 00:38:41,guest,yes,inactive,social
U1137,male,1960-08-24,West Jeffreybury,mobile,Spanish,2025-03-30 11:01:24,guest,yes,active,email
U1138,male,2004-08-27,Thomashaven,desktop,French,2025-04-06 18:01:32,pending,no,active,email
U1139,male,1988-06-05,Michaelmouth,tablet,German,2025-03-23 14:33:43,guest,yes,suspended,referral
U1140,male,1980-05-04,Jerryborough,desktop,English,2025-04-01 06:33:36,registered,yes,inactive,organic
U1141,female,1967-08-11,East Javier,tablet,German,2025-05-04 00:31:44,registered,no,suspended,paid
U1142,male,1978-04-16,Tinaborough,tablet,German,2025-03-28 12:36:30,guest,no,inactive,referral
U1143,female,1974-12-15,Harrytown,mobile,English,2025-05-13 17:14:59,registered,yes,suspended,organic
U1144,male,1968-02-02,Brandonton,mobile,German,2025-05-17 10:50:22,pending,no,active,email
U1145,female,1979-05-10,Lake Miranda,desktop,Spanish,2025-05-05 07:39:37,guest,no,active,email
U1146,female,1966-06-15,New Justinfort,desktop,Spanish,2025-04-25 12:44:00,guest,no,inactive,email
U1147,female,1982-08-29,North Johnny,mobile,French,2025-05-02 18:22:45,guest,yes,suspended,paid
U1148,male,1967-03-28,South Travisshire,desktop,English,2025-02-09 09:50:11,registered,no,suspended,organic
U1149,female,1969-10-19,Port Anna,desktop,German,2025-03-29 23:58:34,registered,no,active,email
U1150,female,1965-04-09,North Angela,tablet,German,2025-04-20 19:30:41,pending,no,suspended,email
U1151,female,2000-09-25,Port Alexandra,mobile,German,2025-04-27 11:32:58,registered,yes,inactive,social
U1152,female,1989-08-07,Michellechester,tablet,French,2025-03-30 07:10:30,registered,yes,suspended,organic
U1153,female,1998-03-03,New Susanville,desktop,English,2025-03-11 08:21:42,guest,yes,suspended,paid
U1154,male,2002-01-15,West Donna,mobile,French,2025-03-01 11:56:20,guest,no,inactive,email
U1155,male,1975-10-18,New Charles,tablet,French,2025-01-30 12:28:11,guest,no,active,paid
U1156,female,1987-04-10,Norrisfort,mobile,English,2025-03-27 13:22:00,pending,no,suspended,organic
U1157,female,1961-09-11,West Jasmine,desktop,German,2025-04-28 03:56:21,pending,yes,suspended,email
U1158,male,1964-04-26,West Kristin,mobile,English,2025-05-24 12:37:07,pending,yes,inactive,paid
U1159,female,2004-06-19,South Danny,desktop,English,2025-03-14 15:41:16,registered,yes,active,paid
U1160,female,2003-07-19,West Margaret,tablet,English,2025-02-12 20:47:38,guest,no,active,social
U1161,male,1963-07-14,Port Kyle,desktop,French,2025-05-20 12:41:49,pending,yes,active,email
U1162,female,1979-02-11,Martinezport,mobile,Spanish,2025-04-18 03:49:32,registered,yes,inactive,email
U1163,female,1977-12-31,Kimton,desktop,English,2025-04-23 21:23:58,pending,yes,inactive,organic
U1164,female,1981-05-29,Anthonybury,mobile,German,2025-05-21 16:37:19,registered,yes,inactive,email
U1165,male,1999-06-06,Port Emilyview,tablet,English,2025-05-21 21:30:20,pending,yes,suspended,organic
U1166,female,1962-03-18,South April,tablet,French,2025-04-25 20:56:18,registered,no,active,paid
U1167,female,1978-05-27,New Ryan,tablet,French,2025-05-05 11:36:29,registered,no,active,organic
U1168,male,1965-09-06,Baileymouth,tablet,English,2025-04-02 08:14:23,guest,no,inactive,social
U1169,female,2005-01-28,Port Eugenechester,tablet,French,2025-05-06 05:03:10,guest,yes,active,social
U1170,female,1979-02-01,Cervantesside,tablet,German,2025-02-06 03:01:15,registered,yes,active,paid
U1171,male,1990-06-04,West Johnnyville,tablet,German,2025-04-18 11:35:32,guest,no,suspended,paid
U1172,male,1994-06-29,Lake Mollymouth,desktop,French,2025-04-20 05:52:23,guest,yes,suspended,organic
U1173,male,1963-03-01,New Michael,tablet,French,2025-05-06 19:08:46,pending,yes,active,paid
U1174,female,2002-01-12,Wolfborough,mobile,French,2025-03-22 20:34:20,registered,no,active,paid
U1175,male,1996-11-05,West Samuel,mobile,French,2025-05-04 02:55:14,registered,no,active,social
U1176,male,1967-09-27,Lake Chelseabury,tablet,French,2025-03-01 18:05:44,pending,no,active,social
U1177,female,1980-08-14,New Rickybury,mobile,English,2025-02-21 00:46:01,registered,no,inactive,email
U1178,female,1990-11-16,Lake Marilynfort,mobile,English,2025-03-27 16:10:24,pending,yes,inactive,referral
U1179,male,1994-02-07,Robertfort,mobile,English,2025-05-01 16:42:13,registered,yes,inactive,social
U1180,male,1976-01-22,Arnoldfurt,mobile,German,2025-03-08 00:18:31,guest,yes,inactive,email
U1181,male,2000-04-05,Port Chad,mobile,English,2025-04-20 13:46:18,guest,yes,suspended,social
U1182,male,1982-08-08,Loriport,tablet,Spanish,2025-03-28 23:22:15,registered,no,suspended,paid
U1183,male,1999-06-01,Grimesmouth,desktop,Spanish,2025-05-14 13:58:02,guest,yes,suspended,email
U1184,female,1992-06-07,Martinside,mobile,Spanish,2025-04-13 05:55:34,guest,yes,active,social
U1185,male,1990-06-17,Mollybury,desktop,Spanish,2025-05-21 00:46:12,pending,no,suspended,email
U1186,female,1985-07-14,Port Kimberly,mobile,German,2025-02-07 11:24:40,pending,yes,suspended,social
U1187,male,1981-02-15,Thorntonfurt,mobile,French,2025-04-14 23:15:26,registered,no,inactive,social
U1188,male,2004-08-21,South Tammie,desktop,French,2025-02-23 12:21:00,pending,no,active,email
U1189,female,1993-08-27,Mollymouth,tablet,English,2025-02-18 08:41:24,pending,yes,inactive,social
U1190,male,1995-04-07,Smithberg,desktop,French,2025-04-19 14:38:19,pending,yes,inactive,paid
U1191,female,2004-01-12,North Terrance,desktop,French,2025-03-22 11:05:44,registered,yes,suspended,social
U1192,female,1982-07-06,Santosmouth,tablet,French,2025-05-13 14:51:36,guest,yes,inactive,social
U1193,female,1985-05-02,Courtneyfort,desktop,English,2025-05-15 01:19:02,guest,no,suspended,email
U1194,female,1961-12-01,East Crystalport,tablet,French,2025-03-15 04:09:46,guest,no,active,referral
U1195,female,1965-08-16,Goodville,mobile,English,2025-04-26 03:41:30,registered,no,inactive,referral
U1196,male,1970-10-18,Rebeccaton,desktop,English,2025-04-02 23:41:43,pending,no,inactive,referral
U1197,female,1963-04-17,Michaelchester,mobile,Spanish,2025-02-27 06:24:15,guest,no,active,email
U1198,male,1976-02-03,Knightburgh,tablet,French,2025-03-04 00:10:52,guest,yes,suspended,email
U1199,male,1971-05-22,New Monicabury,desktop,English,2025-05-06 15:17:50,registered,no,suspended,referral
U1200,female,1999-02-27,East Steven,mobile,French,2025-03-20 07:37:12,registered,yes,suspended,referral
U1201,male,1990-09-30,Elizabethmouth,mobile,German,2025-03-26 20:27:38,pending,no,inactive,organic
U1202,male,2005-08-02,North Scott,tablet,German,2025-04-07 02:27:09,pending,yes,active,organic
U1203,female,1999-06-17,Daniellechester,mobile,Spanish,2025-03-19 13:32:31,pending,no,inactive,referral
U1204,male,1990-07-24,Jamesfurt,mobile,Spanish,2025-05-03 19:54:46,registered,no,active,paid
U1205,male,1966-09-24,South Ashley,mobile,English,2025-05-21 14:49:03,guest,yes,suspended,organic
U1206,female,1979-08-10,Andrewfurt,tablet,English,2025-03-24 07:10:16,guest,no,inactive,paid
U1207,female,1960-01-10,New Julieport,tablet,German,2025-03-15 16:25:45,pending,no,inactive,organic
U1208,female,2000-10-13,Jefferyborough,tablet,German,2025-05-30 13:33:45,guest,no,active,organic
U1209,female,1976-07-12,Lake Colton,mobile,German,2025-02-06 15:43:21,guest,yes,suspended,email
U1210,male,1980-06-30,Johnsonstad,desktop,French,2025-02-24 12:25:24,pending,no,active,email
U1211,female,1965-08-10,Markchester,tablet,Spanish,2025-03-05 02:32:31,registered,no,active,paid
U1212,female,1973-02-19,Port Amber,mobile,French,2025-04-11 01:01:10,registered,yes,active,paid
U1213,female,1995-08-07,Mariaview,desktop,Spanish,2025-05-03 13:34:25,guest,no,inactive,paid
U1214,female,1979-07-23,Lindamouth,tablet,English,2025-02-13 14:55:13,registered,no,active,email
U1215,male,1969-01-19,Port Erica,tablet,French,2025-04-17 04:04:18,guest,yes,inactive,organic
U1216,female,1997-05-26,Christopherfurt,mobile,French,2025-02-01 16:51:56,pending,no,inactive,email
U1217,female,1977-06-21,South Miguelview,tablet,French,2025-05-23 12:14:50,pending,no,suspended,social
U1218,female,1985-05-27,Danielbury,desktop,Spanish,2025-05-01 13:14:29,guest,no,inactive,paid
U1219,male,1961-03-05,Rosebury,desktop,French,2025-02-11 06:36:45,pending,no,inactive,paid
U1220,female,2002-09-18,Blankenshipport,mobile,German,2025-04-19 06:47:47,pending,yes,inactive,social
U1221,female,1967-05-31,North Sophia,tablet,German,2025-03-30 02:26:30,guest,no,active,referral
U1222,female,1992-12-30,North Jimmyside,desktop,Spanish,2025-02-25 08:14:25,registered,no,inactive,organic
U1223,male,1985-12-02,Watsonside,mobile,Spanish,2025-04-21 09:16:20,pending,no,inactive,email
U1224,female,1999-06-11,South Diana,mobile,Spanish,2025-05-05 00:31:20,registered,yes,suspended,email
U1225,female,2001-05-15,Crosbyview,desktop,German,2025-02-05 08:28:08,guest,yes,inactive,email
U1226,female,2006-06-13,Jeffmouth,mobile,English,2025-03-16 20:21:52,pending,yes,suspended,social
U1227,female,1984-02-26,Lake Michaelstad,mobile,French,2025-02-10 18:11:01,pending,yes,inactive,paid
U1228,female,1986-07-26,Jamesville,tablet,German,2025-04-28 07:08:11,pending,yes,active,organic
U1229,female,1965-09-17,Lake Danielle,desktop,English,2025-02-03 03:31:58,guest,no,active,social
U1230,male,1962-12-01,Johnberg,tablet,German,2025-05-19 15:07:26,registered,no,suspended,email
U1231,female,1973-06-09,Port Kathyborough,tablet,French,2025-05-23 20:44:35,pending,yes,inactive,organic
U1232,male,1974-03-03,West Kim,tablet,Spanish,2025-05-25 17:28:32,guest,no,inactive,paid
U1233,female,1959-09-01,Micheleberg,desktop,Spanish,2025-02-24 05:48:26,guest,yes,suspended,organic
U1234,female,1996-03-27,Laurenville,mobile,French,2025-02-04 00:08:39,guest,no,suspended,paid
U1235,female,1968-06-10,West Kristybury,mobile,German,2025-05-24 08:15:12,pending,yes,inactive,organic
U1236,male,1981-07-04,East Josephberg,desktop,English,2025-04-21 17:49:06,pending,no,suspended,organic
U1237,male,1995-04-10,Lake Brycemouth,tablet,English,2025-04-10 07:13:26,registered,no,suspended,referral
U1238,male,1994-05-26,South Williamton,tablet,French,2025-05-11 06:08:19,registered,no,suspended,organic
U1239,male,1980-01-01,Schneidertown,mobile,Spanish,2025-02-10 19:28:00,registered,yes,active,paid
U1240,female,1992-01-26,Simmonsville,mobile,English,2025-05-05 04:49:06,guest,yes,suspended,organic
U1241,male,1989-08-28,North Marcberg,desktop,French,2025-02-11 18:06:05,pending,yes,active,referral
U1242,female,1968-01-23,Claudiashire,tablet,English,2025-05-16 11:31:34,registered,no,suspended,referral
U1243,female,1981-08-08,Vanghaven,mobile,Spanish,2025-03-28 06:19:23,registered,yes,inactive,social
U1244,female,1990-05-08,Garciaville,mobile,German,2025-05-17 01:24:30,guest,yes,suspended,referral
U1245,male,1974-02-08,Hayesbury,mobile,German,2025-04-20 08:30:39,pending,yes,inactive,social
U1246,male,1982-07-16,Rossville,desktop,Spanish,2025-03-31 16:34:51,guest,no,suspended,paid
U1247,female,1988-07-07,Elizabethstad,tablet,Spanish,2025-02-28 15:20:56,pending,yes,active,referral
U1248,male,2006-03-19,Jonesland,tablet,Spanish,2025-02-17 02:29:01,registered,yes,suspended,referral
